secID,closePrice,ordervolume,ordervalue,score
SHSE.603290,471.58,1,47158.0,30.98242251328772
SHSE.603444,358.0,1,35800.0,23.181713387994023
SHSE.600563,248.57,2,49714.0,20.91964941580972
SZSE.300474,173.0,2,34600.0,20.22004254141185
SZSE.000799,243.15,2,48630.0,18.31633714791611
SHSE.688029,232.91,2,46582.0,16.606786864079325
SHSE.603893,149.15,3,44745.00000000001,14.069851819218396
SZSE.300223,147.68,3,44304.0,13.214038297770706
SHSE.603605,199.0,2,39800.0,13.18606528569928
SHSE.603260,140.68,3,42204.0,12.389471214521627
SHSE.605358,141.98,3,42593.99999999999,12.359668984877356
SZSE.002985,115.3,4,46120.0,11.023087588583138
SZSE.300618,98.4,5,49200.0,10.626282390741324
SHSE.603786,86.63,5,43315.0,10.463246949432024
SZSE.300741,62.4,8,49920.0,10.419700343159649
SHSE.600779,140.5,3,42150.0,10.396242832836474
SZSE.002195,2.18,229,49922.0,10.371998095058771
SZSE.002131,2.41,207,49887.0,10.34472562725086
SHSE.688099,125.87,3,37761.0,10.3409926318809
SHSE.603486,162.5,3,48750.0,10.275510148411977
SHSE.603077,3.42,146,49932.0,10.248812533500796
SHSE.600486,131.5,3,39450.0,10.086522437928192
SZSE.002709,133.88,3,40164.0,10.071801970567773
SHSE.600256,6.13,81,49653.0,10.0245454557541
SZSE.000630,3.5,142,49700.0,9.95248441060324
